formula,class,source,mp_id,e_above_hull,formation_e,is_stable,confidence,n_atoms_cell,sg,elements,ang_mom,predicted_phase,cif_filename
AlCoNbTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Co;Nb;Ti;V,"{""Al"": ""p"", ""Co"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCoNbTiV_bcc.cif
CoMoTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Co;Mo;Ta;Ti;V,"{""Co"": ""d"", ""Mo"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CoMoTaTiV_bcc.cif
CoMoTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Co;Mo;Ti;V;W,"{""Co"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CoMoTiVW_bcc.cif
AlCoMoTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Co;Mo;Ti;V,"{""Al"": ""p"", ""Co"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCoMoTiV_bcc.cif
CoTaTiVW,hea,prototype,,,,,low,16,BCC_SQS,Co;Ta;Ti;V;W,"{""Co"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CoTaTiVW_bcc.cif
AlCoTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Co;Ta;Ti;V,"{""Al"": ""p"", ""Co"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCoTaTiV_bcc.cif
AlCoTiVW,hea,prototype,,,,,low,16,BCC_SQS,Al;Co;Ti;V;W,"{""Al"": ""p"", ""Co"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,AlCoTiVW_bcc.cif
CuMoNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Cu;Mo;Ni;Ti;V,"{""Cu"": ""d"", ""Mo"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CuMoNiTiV_bcc.cif
CuNiTiVW,hea,prototype,,,,,low,16,BCC_SQS,Cu;Ni;Ti;V;W,"{""Cu"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CuNiTiVW_bcc.cif
AlCuNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Cu;Ni;Ti;V,"{""Al"": ""p"", ""Cu"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCuNiTiV_bcc.cif
