formula,class,R,status,reason,n_atoms,energy_eV,energy_per_atom_eV,elapsed_sec
Cr2NbSi,heusler,6,passed,,58,-1710.1772,-29.485814,553.6
Cr2TaAl,heusler,5,passed,,30,-741.048,-24.7016,35.4
Cr2TaBi,heusler,5,passed,,36,-1133.4517,-31.484769,65.8
Cr2TaGa,heusler,5,passed,,27,-685.847,-25.401741,10.8
Cr2NiGa,heusler,6,passed,,59,-2449.7067,-41.520453,590.9
Cr2TaGe,heusler,5,passed,,27,-844.0927,-31.262693,9.7
Cr2NiSi,heusler,6,passed,,65,-3079.6868,-47.379797,460.5
Cr2TaBi,heusler,6,passed,,58,-1798.613,-31.010569,358.0
Cr2NiGe,heusler,6,passed,,62,-2918.3657,-47.070415,670.3
Cr2TaSb,heusler,5,passed,,27,-956.1742,-35.413859,10.1
Cr2NiSn,heusler,6,passed,,55,-2380.2315,-43.276936,469.7
Cr2TaIn,heusler,5,passed,,30,-745.3674,-24.84558,136.3
Cr2TaSi,heusler,5,passed,,30,-848.8897,-28.296323,62.1
Cr2NiAl,heusler,6,failed,timeout,82,,,900.0
Cr2TaSn,heusler,5,passed,,27,-796.4491,-29.498115,16.2
Cr2NiIn,heusler,6,passed,,59,-2421.3237,-41.039385,797.2
Cr2NiSb,heusler,6,passed,,59,-2719.5856,-46.094671,808.8
Cr2TaAl,heusler,6,passed,,59,-1518.8145,-25.742619,670.5
Cr2TaSi,heusler,6,passed,,59,-1664.2308,-28.207302,192.8
Cr2TiGa,heusler,5,passed,,27,-662.1839,-24.52533,6.9
Cr2TiAl,heusler,5,passed,,45,-1108.6784,-24.637298,180.3
Cr2TiGe,heusler,5,passed,,33,-887.4378,-26.892055,74.1
Cr2TaGa,heusler,6,passed,,59,-1545.7032,-26.198359,703.7
Cr2TiAl,heusler,6,passed,,65,-1610.5301,-24.777386,195.4
Cr2TiIn,heusler,5,passed,,27,-643.3192,-23.826637,137.4
Cr2TiIn,heusler,6,passed,,59,-1458.062,-24.712915,152.9
Cr2TaIn,heusler,6,passed,,52,-1338.1439,-25.733537,566.3
Cr2TiSb,heusler,5,passed,,33,-1028.0596,-31.153321,69.3
Cr2TiBi,heusler,5,passed,,39,-1281.549,-32.860231,380.4
Cr2TaGe,heusler,6,passed,,59,-1702.1012,-28.849173,780.7
Cr2TiSn,heusler,5,passed,,24,-637.5874,-26.566142,31.2
Cr2TiGa,heusler,6,passed,,59,-1495.9205,-25.354585,378.5
Cr2VAl,heusler,5,passed,,4,-101.0056,-25.2514,29.7
Cr2TiSi,heusler,5,passed,,51,-1344.7488,-26.367624,162.3
Cr2VAl,heusler,6,passed,,7,-184.8241,-26.403443,44.5
Cr2TiSi,heusler,6,passed,,65,-1786.9826,-27.49204,138.9
Cr2VGa,heusler,5,passed,,39,-1074.604,-27.553949,122.9
Cr2TiSn,heusler,6,passed,,58,-1571.118,-27.088241,252.6
Cr2TaSn,heusler,6,passed,,59,-1654.4751,-28.041951,802.3
Cr2VGe,heusler,5,passed,,36,-1116.5967,-31.016575,76.4
Cr2VGa,heusler,6,passed,,61,-1700.5188,-27.877357,207.1
Cr2VIn,heusler,5,passed,,36,-961.2075,-26.700208,54.0
Cr2TiSb,heusler,6,passed,,49,-1507.7297,-30.769994,437.2
Cr2VBi,heusler,5,passed,,48,-1615.1204,-33.648342,331.6
Cr2VSb,heusler,5,passed,,33,-1051.6238,-31.867388,77.7
Cr2VSi,heusler,5,passed,,36,-1085.1593,-30.143314,45.8
Cr2VSn,heusler,5,passed,,36,-1069.6468,-29.712411,78.4
Cr2WAl,heusler,5,passed,,4,-96.3228,-24.0807,2.1
