formula,class,sg,a,n_atoms_cell,t_factor,mu_factor,vec,delta_percent,predicted_phase,confidence,elements,ang_mom
CrCuMnMoNi,hea,FCC_SQS,3.682,32,,,8.0,3.96,fcc,high,Cr;Cu;Mn;Mo;Ni,"{""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ni"": ""d""}"
CrCuMnNiTa,hea,BCC_SQS,2.962,16,,,7.8,6.0,mixed,low,Cr;Cu;Mn;Ni;Ta,"{""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Ni"": ""d"", ""Ta"": ""d""}"
CrCuMnNiW,hea,FCC_SQS,3.684,32,,,8.0,3.96,fcc,high,Cr;Cu;Mn;Ni;W,"{""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Ni"": ""d"", ""W"": ""d""}"
AlCrCuMnNi,hea,BCC_SQS,2.964,16,,,7.4,5.13,mixed,low,Al;Cr;Cu;Mn;Ni,"{""Al"": ""p"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Ni"": ""d""}"
CrMnMoNbNi,hea,BCC_SQS,3.002,16,,,6.8,6.27,bcc,low,Cr;Mn;Mo;Nb;Ni,"{""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Nb"": ""d"", ""Ni"": ""d""}"
CrMnNbNiW,hea,BCC_SQS,3.004,16,,,6.8,6.27,bcc,low,Cr;Mn;Nb;Ni;W,"{""Cr"": ""d"", ""Mn"": ""d"", ""Nb"": ""d"", ""Ni"": ""d"", ""W"": ""d""}"
CrMnMoNiTa,hea,BCC_SQS,3.002,16,,,6.8,6.27,bcc,low,Cr;Mn;Mo;Ni;Ta,"{""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ni"": ""d"", ""Ta"": ""d""}"
CrMnMoNiW,hea,BCC_SQS,2.974,16,,,7.0,4.83,mixed,low,Cr;Mn;Mo;Ni;W,"{""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ni"": ""d"", ""W"": ""d""}"
AlCrMnMoNi,hea,BCC_SQS,3.004,16,,,6.4,5.61,bcc,low,Al;Cr;Mn;Mo;Ni,"{""Al"": ""p"", ""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ni"": ""d""}"
CrMnNiTaW,hea,BCC_SQS,3.004,16,,,6.8,6.27,bcc,low,Cr;Mn;Ni;Ta;W,"{""Cr"": ""d"", ""Mn"": ""d"", ""Ni"": ""d"", ""Ta"": ""d"", ""W"": ""d""}"
AlCrMnNiW,hea,BCC_SQS,3.006,16,,,6.4,5.61,bcc,low,Al;Cr;Mn;Ni;W,"{""Al"": ""p"", ""Cr"": ""d"", ""Mn"": ""d"", ""Ni"": ""d"", ""W"": ""d""}"
CrCuMnMoNb,hea,BCC_SQS,3.03,16,,,7.0,5.69,mixed,low,Cr;Cu;Mn;Mo;Nb,"{""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Nb"": ""d""}"
