formula,class,source,status,reason,energy_eV,energy_per_atom_eV,a_initial,a_relaxed,n_atoms,volume_change_pct,confidence_update,elapsed_sec
AlCoCuVW,hea,prototype,suspect,vol_30pct,-756.8309,-47.301931,6.108,5.4865,16,30.23,low,117.4
AlCoCuTaV,hea,prototype,passed,,-720.5873,-45.036706,6.164,5.5887,16,29.72,low,130.5
AlCoMoNbV,hea,prototype,passed,,-655.4108,-40.963175,6.244,6.08,16,12.34,medium,98.2
CoCuMoNiV,hea,prototype,passed,,-2072.4168,-64.763025,7.384,7.1181,32,14.76,medium,530.5
CoCuTaVW,hea,prototype,passed,,-823.2705,-51.454406,6.104,5.9889,16,8.2,high,160.7
AlCoNbTaV,hea,prototype,passed,,-610.7609,-38.172556,6.304,6.1278,16,10.65,medium,110.3
CoNbTaVW,hea,prototype,passed,,-712.8448,-44.5528,6.244,6.6795,16,3.22,high,156.4
CoMoNbVW,hea,prototype,passed,,-755.9849,-47.249056,6.184,6.341,16,2.22,high,196.3
AlCoMoVW,hea,prototype,passed,,-678.6333,-42.414581,6.188,5.9601,16,11.91,medium,95.1
AlCoNbVW,hea,prototype,passed,,-640.9893,-40.061831,6.248,6.1214,16,11.78,medium,133.8
AlCoMoTaV,hea,prototype,passed,,-649.9766,-40.623537,6.244,6.3733,16,11.22,medium,135.5
CoMoTaVW,hea,prototype,passed,,-750.1738,-46.885863,6.184,6.2397,16,0.78,high,140.3
CuMoNbNiV,hea,prototype,passed,,-885.9298,-55.370613,6.096,5.5387,16,27.02,low,120.1
CoMoNbTaV,hea,prototype,passed,,-726.4003,-45.400019,6.24,6.9507,16,1.89,high,260.9
AlCuNbNiV,hea,prototype,suspect,vol_33pct,-769.7682,-48.110512,6.16,5.392,16,33.44,low,81.6
AlCoTaVW,hea,prototype,passed,,-634.1253,-39.632831,6.248,6.0467,16,10.26,medium,168.1
AlCuMoNiV,hea,prototype,suspect,vol_35pct,-814.8381,-50.927381,6.1,5.2886,16,35.15,low,84.4
CuMoNiVW,hea,prototype,passed,,-911.6355,-56.977219,6.04,5.5333,16,26.9,low,101.0
MoNbNiTaV,hea,prototype,passed,,-730.6673,-45.666706,6.236,6.3239,16,4.0,high,60.9
CuNbNiVW,hea,prototype,passed,,-870.7171,-54.419819,6.1,5.7368,16,26.91,low,150.7
NbNiTaVW,hea,prototype,passed,,-703.2231,-43.951444,6.24,6.3637,16,5.77,high,49.3
CuMoNiTaV,hea,prototype,passed,,-880.1653,-55.010331,6.096,5.7182,16,22.29,low,144.6
AlMoNbNiV,hea,prototype,passed,,-695.6253,-43.476581,6.24,5.9457,16,14.62,medium,75.7
AlNbNiTaV,hea,prototype,passed,,-649.7739,-40.610869,6.3,6.1524,16,8.53,high,67.0
CuNiTaVW,hea,prototype,passed,,-857.0934,-53.568337,6.1,5.6684,16,25.28,low,153.8
AlMoNiVW,hea,prototype,passed,,-718.84,-44.9275,6.184,5.9879,16,10.29,medium,76.7
AlCuNiVW,hea,prototype,passed,,-801.0011,-50.062569,6.104,5.6028,16,27.88,low,180.1
AlCuNiTaV,hea,prototype,passed,,-766.4535,-47.903344,6.16,6.0558,16,27.59,low,195.9
MoNbNiVW,hea,prototype,passed,,-759.2384,-47.4524,6.18,6.2929,16,3.63,high,163.4
AlNbNiVW,hea,prototype,passed,,-679.4885,-42.468031,6.244,6.1569,16,9.33,high,135.1
MoNiTaVW,hea,prototype,passed,,-754.9933,-47.187081,6.18,6.3258,16,5.05,high,123.7
AlMoNiTaV,hea,prototype,passed,,-689.8144,-43.1134,6.24,6.258,16,8.46,high,146.8
CuMoNbTaV,hea,prototype,passed,,-700.6369,-43.789806,6.292,5.6998,16,28.22,low,129.4
CuMoNbVW,hea,prototype,suspect,vol_32pct,-743.418,-46.463625,6.236,5.5796,16,32.48,low,118.0
AlNiTaVW,hea,prototype,passed,,-672.5514,-42.034462,6.244,6.1313,16,5.68,high,147.8
AlCuNbTaV,hea,prototype,suspect,vol_33pct,-577.161,-36.072562,6.356,5.5673,16,33.5,low,87.6
CuNbTaVW,hea,prototype,passed,,-676.1243,-42.257769,6.296,5.7377,16,26.5,low,104.7
MoNbTaVZr,hea,prototype,passed,,-523.3587,-32.709919,6.544,6.5778,16,1.46,high,41.2
AlCuNbVW,hea,prototype,suspect,vol_33pct,-614.7865,-38.424156,6.3,5.6387,16,32.68,low,107.9
MoNbVWZr,hea,prototype,passed,,-553.453,-34.590812,6.488,6.5323,16,2.04,high,35.0
AlCuMoTaV,hea,prototype,suspect,vol_36pct,-623.9121,-38.994506,6.296,5.467,16,35.98,low,93.7
NbTaVWZr,hea,prototype,passed,,-495.3857,-30.961606,6.548,6.6015,16,2.43,high,31.9
AlCuTaVW,hea,prototype,suspect,vol_31pct,-597.5258,-37.345363,6.3,5.5887,16,30.58,low,82.6
AlMoNbVZr,hea,prototype,passed,,-488.3395,-30.521219,6.548,6.3252,16,10.76,medium,68.5
